country,year,attack_type,target_industry,financial_loss_in_million,number_of_affected_users,attack_source,security_vulnerability_type,defense_mechanism_used,incident_resolution_time_in_hours,severity_score
France,2019,Man-in-the-Middle,Banking,28.29,929020,Nation-state,Weak Passwords,Antivirus,2,929048.29
USA,2022,Malware,IT,4.06,863756,Nation-state,Unpatched Software,AI-based Detection,66,863760.06
China,2018,Ransomware,Telecommunications,58.28,300898,Nation-state,Unpatched Software,Encryption,18,300956.28
Japan,2017,SQL Injection,Healthcare,7.31,191328,Insider,Weak Passwords,Encryption,51,191335.31
Germany,2021,Man-in-the-Middle,Banking,37.69,361849,Hacker Group,Zero-day,Firewall,63,361886.69
Brazil,2016,Phishing,Retail,27.99,30884,Nation-state,Unpatched Software,Antivirus,26,30911.99
Brazil,2024,Ransomware,IT,71.55,902924,Unknown,Social Engineering,Encryption,12,902995.55
Brazil,2024,Man-in-the-Middle,Telecommunications,27.13,943178,Nation-state,Weak Passwords,VPN,63,943205.13
Australia,2021,SQL Injection,Telecommunications,10.28,994468,Insider,Unpatched Software,Antivirus,8,994478.28
China,2022,Phishing,Retail,31.35,131361,Insider,Weak Passwords,Firewall,39,131392.35
China,2023,Malware,Telecommunications,80.1,237658,Unknown,Zero-day,Antivirus,26,237738.1
USA,2017,Ransomware,Banking,42.19,157313,Hacker Group,Unpatched Software,Antivirus,47,157355.19
UK,2021,Man-in-the-Middle,Education,40.98,414340,Insider,Unpatched Software,AI-based Detection,10,414380.98
France,2020,DDoS,Healthcare,58.8,153523,Insider,Social Engineering,Encryption,22,153581.8
UK,2019,Phishing,IT,3.33,232665,Unknown,Social Engineering,AI-based Detection,65,232668.33
Germany,2022,Phishing,Government,58.98,383945,Nation-state,Zero-day,Encryption,49,384003.98
Brazil,2023,Ransomware,Government,4.6,762006,Unknown,Weak Passwords,Antivirus,21,762010.6
Germany,2019,SQL Injection,Government,96.91,408103,Nation-state,Unpatched Software,Firewall,27,408199.91
France,2022,Phishing,Healthcare,85.91,44837,Unknown,Zero-day,AI-based Detection,18,44922.91
Germany,2023,DDoS,Telecommunications,51.49,642699,Unknown,Social Engineering,Firewall,51,642750.49
UK,2021,Ransomware,Telecommunications,3.99,634820,Insider,Unpatched Software,Encryption,33,634823.99
France,2021,Malware,Retail,3.44,887718,Insider,Zero-day,Antivirus,55,887721.44
USA,2020,DDoS,Education,52.7,541631,Unknown,Zero-day,AI-based Detection,30,541683.7
USA,2016,Ransomware,Retail,11.58,523522,Unknown,Weak Passwords,Encryption,57,523533.58
Russia,2021,DDoS,Government,91.69,686309,Unknown,Unpatched Software,Antivirus,42,686400.69
India,2015,Man-in-the-Middle,Education,79.89,416328,Nation-state,Zero-day,Encryption,55,416407.89
India,2021,Man-in-the-Middle,IT,53.49,582718,Hacker Group,Social Engineering,Encryption,20,582771.49
Japan,2021,Man-in-the-Middle,Telecommunications,18.91,549640,Nation-state,Social Engineering,Encryption,17,549658.91
USA,2024,DDoS,Retail,15.34,1068,Insider,Social Engineering,Firewall,3,1083.34
France,2018,DDoS,Telecommunications,12.72,959835,Unknown,Zero-day,Firewall,38,959847.72
USA,2024,Ransomware,Retail,46.59,227390,Insider,Weak Passwords,AI-based Detection,40,227436.59
France,2021,SQL Injection,Banking,62.9,577763,Insider,Zero-day,AI-based Detection,43,577825.9
Japan,2018,SQL Injection,Healthcare,85.33,786644,Nation-state,Unpatched Software,Antivirus,41,786729.33
China,2016,Malware,Healthcare,85.15,454802,Insider,Unpatched Software,Antivirus,48,454887.15
China,2024,DDoS,Healthcare,53.53,371685,Unknown,Social Engineering,VPN,34,371738.53
India,2023,Ransomware,Retail,4.32,217534,Unknown,Unpatched Software,VPN,48,217538.32
Australia,2024,Man-in-the-Middle,Telecommunications,31.68,376612,Nation-state,Unpatched Software,VPN,27,376643.68
UK,2020,Phishing,Banking,84.77,812206,Hacker Group,Unpatched Software,Encryption,39,812290.77
Australia,2021,Man-in-the-Middle,Banking,82.87,255967,Unknown,Social Engineering,VPN,23,256049.87
USA,2023,DDoS,Healthcare,5.32,463332,Unknown,Weak Passwords,Encryption,16,463337.32
Australia,2023,DDoS,IT,31.48,771547,Hacker Group,Zero-day,Antivirus,5,771578.48
UK,2020,DDoS,Retail,86,809209,Unknown,Social Engineering,Encryption,26,809295
India,2024,DDoS,Retail,35.47,342575,Insider,Social Engineering,Firewall,49,342610.47
Japan,2024,Phishing,Retail,94.75,478963,Insider,Zero-day,VPN,70,479057.75
USA,2017,SQL Injection,Banking,39.59,910393,Unknown,Weak Passwords,Antivirus,52,910432.59
Australia,2024,Phishing,Banking,70.52,601198,Insider,Zero-day,Encryption,41,601268.52
UK,2018,Ransomware,Government,6.6,152302,Hacker Group,Social Engineering,AI-based Detection,26,152308.6
USA,2016,SQL Injection,Healthcare,25.85,79102,Nation-state,Zero-day,AI-based Detection,4,79127.85
India,2017,Ransomware,Retail,80.93,837506,Nation-state,Zero-day,Antivirus,8,837586.93
Germany,2018,Malware,Banking,63.81,347441,Hacker Group,Social Engineering,Firewall,58,347504.81
USA,2021,Ransomware,Telecommunications,3.63,231198,Insider,Unpatched Software,Encryption,42,231201.63
Brazil,2016,DDoS,Government,80.09,555275,Unknown,Social Engineering,Antivirus,71,555355.09
UK,2016,SQL Injection,Retail,24.51,46699,Unknown,Zero-day,Antivirus,53,46723.51
UK,2024,Man-in-the-Middle,IT,56.23,706469,Unknown,Unpatched Software,Encryption,17,706525.23
China,2018,Ransomware,IT,43.73,311165,Unknown,Social Engineering,AI-based Detection,34,311208.73
France,2019,SQL Injection,Government,85.13,304257,Nation-state,Weak Passwords,Antivirus,20,304342.13
Brazil,2017,SQL Injection,Telecommunications,24.05,446378,Insider,Unpatched Software,Antivirus,59,446402.05
China,2021,Ransomware,Healthcare,32.72,994243,Hacker Group,Social Engineering,Firewall,54,994275.72
UK,2015,Phishing,Healthcare,81.75,98634,Unknown,Social Engineering,VPN,5,98715.75
USA,2018,Phishing,Telecommunications,42.46,93999,Nation-state,Social Engineering,Encryption,65,94041.46
France,2017,SQL Injection,Education,14.54,171095,Hacker Group,Zero-day,AI-based Detection,63,171109.54
USA,2015,Man-in-the-Middle,IT,38.92,820182,Nation-state,Weak Passwords,Antivirus,16,820220.92
Germany,2018,SQL Injection,Telecommunications,4.2,164890,Insider,Weak Passwords,Encryption,61,164894.2
China,2015,SQL Injection,Telecommunications,75.91,605020,Insider,Unpatched Software,Antivirus,43,605095.91
Australia,2024,Ransomware,Education,44.95,500747,Insider,Unpatched Software,AI-based Detection,58,500791.95
Japan,2020,Man-in-the-Middle,IT,35.79,854904,Insider,Weak Passwords,Firewall,12,854939.79
China,2020,SQL Injection,Healthcare,62.44,55719,Unknown,Unpatched Software,Firewall,71,55781.44
Brazil,2015,Phishing,Retail,19.93,355008,Hacker Group,Unpatched Software,Antivirus,31,355027.93
UK,2019,Phishing,IT,75.31,428615,Unknown,Social Engineering,AI-based Detection,66,428690.31
Australia,2015,Phishing,Healthcare,76.4,108767,Nation-state,Unpatched Software,VPN,48,108843.4
India,2020,Man-in-the-Middle,IT,28.69,939469,Insider,Unpatched Software,Encryption,45,939497.69
UK,2019,Man-in-the-Middle,Government,23.93,325827,Nation-state,Zero-day,Antivirus,39,325850.93
UK,2017,Man-in-the-Middle,Education,30.44,996762,Hacker Group,Social Engineering,AI-based Detection,27,996792.44
Japan,2017,Phishing,IT,5.14,319868,Hacker Group,Unpatched Software,VPN,52,319873.14
Brazil,2018,Man-in-the-Middle,Banking,1.01,66191,Hacker Group,Weak Passwords,AI-based Detection,71,66192.01
India,2023,Ransomware,IT,18.53,925373,Insider,Zero-day,AI-based Detection,4,925391.53
India,2015,Malware,Telecommunications,1.52,913114,Insider,Unpatched Software,VPN,15,913115.52
Australia,2019,DDoS,Healthcare,84.89,163975,Nation-state,Unpatched Software,Firewall,22,164059.89
USA,2016,DDoS,Education,66.73,876135,Insider,Unpatched Software,AI-based Detection,67,876201.73
China,2024,Ransomware,Government,72.61,595380,Hacker Group,Zero-day,VPN,10,595452.61
France,2020,DDoS,Government,44.16,840796,Nation-state,Weak Passwords,AI-based Detection,5,840840.16
UK,2022,DDoS,Telecommunications,80.05,484908,Unknown,Weak Passwords,Firewall,42,484988.05
Russia,2018,SQL Injection,Telecommunications,13.69,146100,Unknown,Social Engineering,Encryption,22,146113.69
USA,2021,Phishing,IT,29.02,555756,Insider,Zero-day,AI-based Detection,21,555785.02
India,2017,Ransomware,Retail,69.91,340928,Unknown,Social Engineering,Antivirus,61,340997.91
UK,2016,Malware,Telecommunications,3.76,678640,Insider,Zero-day,Encryption,44,678643.76
Brazil,2020,Phishing,IT,57.43,212798,Insider,Social Engineering,Antivirus,31,212855.43
UK,2019,Ransomware,Retail,63.45,354024,Unknown,Weak Passwords,AI-based Detection,33,354087.45
UK,2016,Man-in-the-Middle,Government,41.34,189354,Insider,Zero-day,Firewall,39,189395.34
Australia,2022,Phishing,Education,22.73,648363,Unknown,Zero-day,VPN,47,648385.73
Brazil,2017,DDoS,IT,5.88,231114,Insider,Weak Passwords,AI-based Detection,37,231119.88
India,2017,Ransomware,Banking,9.81,489620,Unknown,Unpatched Software,VPN,43,489629.81
USA,2015,DDoS,IT,94.14,854005,Unknown,Zero-day,AI-based Detection,14,854099.14
Germany,2017,Ransomware,IT,33.24,550719,Hacker Group,Zero-day,AI-based Detection,60,550752.24
Germany,2019,Man-in-the-Middle,Government,75.37,445254,Hacker Group,Unpatched Software,VPN,42,445329.37
Japan,2020,Phishing,Education,49.17,218097,Unknown,Zero-day,VPN,32,218146.17
Germany,2017,Malware,Telecommunications,94.87,324790,Insider,Zero-day,VPN,42,324884.87
India,2023,SQL Injection,Government,28.71,497965,Unknown,Unpatched Software,VPN,25,497993.71
Australia,2023,SQL Injection,Education,42.5,933030,Insider,Social Engineering,Antivirus,27,933072.5
UK,2015,Man-in-the-Middle,IT,53.07,538338,Nation-state,Zero-day,VPN,1,538391.07
France,2018,Phishing,Retail,99.78,860459,Hacker Group,Social Engineering,AI-based Detection,11,860558.78
UK,2024,DDoS,Healthcare,82.87,276634,Unknown,Unpatched Software,Antivirus,38,276716.87
Germany,2018,Man-in-the-Middle,Banking,81.46,316299,Insider,Social Engineering,Firewall,66,316380.46
Japan,2023,Ransomware,Healthcare,33.66,410385,Unknown,Zero-day,Encryption,71,410418.66
Japan,2024,DDoS,Healthcare,99.28,589898,Unknown,Weak Passwords,VPN,59,589997.28
France,2016,Man-in-the-Middle,Retail,14.86,63760,Hacker Group,Weak Passwords,VPN,8,63774.86
USA,2015,Ransomware,Banking,33.75,58037,Insider,Social Engineering,VPN,13,58070.75
UK,2017,SQL Injection,Government,82.03,994787,Nation-state,Unpatched Software,Encryption,56,994869.03
India,2016,Ransomware,Retail,9.53,89719,Unknown,Zero-day,Firewall,68,89728.53
Germany,2023,SQL Injection,Telecommunications,6.09,590760,Unknown,Unpatched Software,Firewall,32,590766.09
UK,2022,DDoS,IT,29.05,186700,Insider,Weak Passwords,Antivirus,37,186729.05
Japan,2019,SQL Injection,Education,89.48,682430,Hacker Group,Zero-day,VPN,5,682519.48
Australia,2018,SQL Injection,Education,75.2,60868,Insider,Social Engineering,Antivirus,46,60943.2
France,2016,SQL Injection,Government,29.33,182916,Nation-state,Unpatched Software,Antivirus,17,182945.33
France,2023,DDoS,Education,65.96,181879,Insider,Weak Passwords,Antivirus,64,181944.96
Australia,2017,Phishing,Retail,95.2,715732,Unknown,Weak Passwords,Antivirus,11,715827.2
UK,2023,Malware,Banking,16.02,452477,Hacker Group,Zero-day,Encryption,23,452493.02
India,2018,Ransomware,Banking,11.19,168881,Insider,Social Engineering,AI-based Detection,5,168892.19
France,2017,SQL Injection,Healthcare,27.42,94235,Insider,Social Engineering,Antivirus,29,94262.42
Australia,2015,Ransomware,Telecommunications,17.38,75314,Unknown,Unpatched Software,Encryption,6,75331.38
Russia,2019,Man-in-the-Middle,Retail,99.53,515797,Nation-state,Social Engineering,Firewall,46,515896.53
Russia,2024,DDoS,Telecommunications,55.05,363906,Insider,Weak Passwords,Antivirus,31,363961.05
UK,2022,DDoS,Education,79.6,446296,Unknown,Zero-day,AI-based Detection,4,446375.6
Russia,2017,Ransomware,Telecommunications,65.18,329972,Nation-state,Unpatched Software,Firewall,48,330037.18
China,2017,Ransomware,Education,25.73,639190,Insider,Social Engineering,Encryption,33,639215.73
USA,2022,Ransomware,Government,33.71,135105,Unknown,Unpatched Software,VPN,48,135138.71
China,2015,DDoS,Education,94.74,103079,Nation-state,Social Engineering,Antivirus,57,103173.74
France,2018,DDoS,IT,75.88,822364,Unknown,Zero-day,VPN,71,822439.88
India,2021,SQL Injection,Government,75.25,597509,Nation-state,Social Engineering,Firewall,20,597584.25
Brazil,2023,Man-in-the-Middle,Telecommunications,90.37,705678,Hacker Group,Zero-day,Antivirus,57,705768.37
France,2020,Phishing,Retail,14.45,309967,Unknown,Zero-day,Firewall,26,309981.45
France,2022,Ransomware,Banking,54.47,604250,Unknown,Social Engineering,AI-based Detection,63,604304.47
India,2024,Ransomware,IT,33.66,131900,Unknown,Unpatched Software,Antivirus,21,131933.66
Australia,2022,Ransomware,Government,84.51,305494,Insider,Social Engineering,Firewall,19,305578.51
Brazil,2023,Malware,Healthcare,61.56,907121,Unknown,Social Engineering,VPN,33,907182.56
India,2024,Phishing,Banking,23.32,879162,Unknown,Zero-day,VPN,38,879185.32
Brazil,2017,Man-in-the-Middle,Telecommunications,43.71,57237,Unknown,Unpatched Software,Firewall,52,57280.71
Australia,2016,Phishing,Telecommunications,2.84,880127,Insider,Social Engineering,Antivirus,67,880129.84
China,2017,Phishing,IT,71.4,698847,Insider,Zero-day,AI-based Detection,17,698918.4
India,2022,Man-in-the-Middle,Banking,90.87,928859,Unknown,Unpatched Software,Firewall,32,928949.87
India,2017,SQL Injection,IT,78.94,858565,Unknown,Weak Passwords,Encryption,29,858643.94
China,2022,Malware,Telecommunications,34.33,571265,Unknown,Unpatched Software,Firewall,17,571299.33
Russia,2015,DDoS,Banking,40.64,259321,Nation-state,Social Engineering,AI-based Detection,62,259361.64
Brazil,2022,Man-in-the-Middle,Banking,59.43,121504,Insider,Weak Passwords,AI-based Detection,32,121563.43
France,2018,DDoS,Banking,50.75,670630,Nation-state,Zero-day,Antivirus,4,670680.75
China,2024,Ransomware,Banking,72.18,277175,Insider,Social Engineering,Firewall,72,277247.18
USA,2016,Man-in-the-Middle,Retail,23.35,952463,Nation-state,Unpatched Software,Antivirus,26,952486.35
UK,2020,DDoS,Government,78.32,624619,Unknown,Weak Passwords,AI-based Detection,67,624697.32
China,2018,Phishing,Healthcare,20.22,363934,Insider,Weak Passwords,Firewall,24,363954.22
Japan,2017,SQL Injection,IT,33.15,44750,Unknown,Unpatched Software,Firewall,22,44783.15
UK,2021,DDoS,Banking,8.82,736601,Nation-state,Zero-day,AI-based Detection,26,736609.82
Japan,2018,Ransomware,Education,43.32,42876,Unknown,Unpatched Software,Antivirus,40,42919.32
Australia,2018,DDoS,Healthcare,90.4,536357,Nation-state,Weak Passwords,Encryption,55,536447.4
USA,2017,Phishing,Government,55.34,785099,Insider,Social Engineering,Encryption,29,785154.34
France,2019,DDoS,Healthcare,27.89,460544,Unknown,Weak Passwords,Firewall,29,460571.89
France,2020,Ransomware,Education,66.04,881755,Unknown,Zero-day,Firewall,10,881821.04
India,2024,SQL Injection,Telecommunications,10.24,213393,Unknown,Social Engineering,Encryption,49,213403.24
UK,2017,Man-in-the-Middle,Telecommunications,43.82,213979,Hacker Group,Unpatched Software,Firewall,10,214022.82
UK,2021,Malware,Telecommunications,3.17,570243,Insider,Unpatched Software,Antivirus,51,570246.17
Brazil,2016,Malware,Government,72.73,47624,Nation-state,Weak Passwords,Firewall,70,47696.73
China,2024,Man-in-the-Middle,Banking,16.09,72940,Nation-state,Zero-day,VPN,26,72956.09
Japan,2020,Malware,Telecommunications,98.14,710142,Insider,Zero-day,AI-based Detection,56,710240.14
Japan,2023,Malware,Retail,51.91,360524,Hacker Group,Unpatched Software,Firewall,47,360575.91
France,2017,Phishing,IT,55.9,309259,Insider,Zero-day,AI-based Detection,3,309314.9
UK,2024,Phishing,Government,30.68,393201,Nation-state,Social Engineering,Firewall,3,393231.68
Germany,2020,Ransomware,IT,65.2,306799,Unknown,Zero-day,Encryption,61,306864.2
Russia,2022,Malware,Healthcare,81.92,30180,Insider,Weak Passwords,AI-based Detection,53,30261.92
India,2017,Phishing,Retail,97.87,113745,Unknown,Unpatched Software,Encryption,2,113842.87
Japan,2024,Ransomware,Banking,24.22,584428,Nation-state,Weak Passwords,Firewall,34,584452.22
France,2020,Ransomware,Healthcare,3.27,178268,Nation-state,Unpatched Software,Antivirus,2,178271.27
China,2022,Phishing,Retail,33.69,338578,Unknown,Social Engineering,AI-based Detection,38,338611.69
China,2024,DDoS,Healthcare,7.31,972407,Hacker Group,Zero-day,Encryption,51,972414.31
Brazil,2022,Ransomware,Banking,15.66,817169,Insider,Unpatched Software,Firewall,54,817184.66
Australia,2015,Malware,Healthcare,62.34,796100,Hacker Group,Social Engineering,AI-based Detection,20,796162.34
UK,2016,Man-in-the-Middle,Banking,76.06,530253,Unknown,Weak Passwords,Encryption,28,530329.06
Australia,2024,Man-in-the-Middle,Government,50.36,165496,Nation-state,Weak Passwords,Encryption,72,165546.36
Russia,2021,Ransomware,Banking,34.92,501490,Insider,Social Engineering,Firewall,44,501524.92
India,2016,Malware,Banking,11.81,392365,Insider,Social Engineering,Antivirus,72,392376.81
China,2022,Malware,Education,96.72,194617,Insider,Social Engineering,Antivirus,31,194713.72
Japan,2022,Man-in-the-Middle,Retail,44.34,516125,Unknown,Zero-day,Firewall,67,516169.34
Australia,2021,Man-in-the-Middle,Telecommunications,67.72,393335,Hacker Group,Social Engineering,Antivirus,31,393402.72
UK,2018,SQL Injection,Government,34.09,197436,Unknown,Zero-day,Antivirus,10,197470.09
France,2022,DDoS,Education,31.51,452360,Nation-state,Zero-day,Antivirus,65,452391.51
Australia,2018,DDoS,Healthcare,20.39,913090,Unknown,Zero-day,VPN,2,913110.39
Germany,2018,SQL Injection,Telecommunications,38.65,368222,Insider,Zero-day,VPN,56,368260.65
India,2022,SQL Injection,Healthcare,77.3,826937,Unknown,Zero-day,AI-based Detection,64,827014.3
Brazil,2015,Ransomware,Retail,89.93,673959,Hacker Group,Zero-day,Firewall,39,674048.93
UK,2022,Ransomware,Education,4.29,383246,Nation-state,Unpatched Software,VPN,45,383250.29
UK,2019,Man-in-the-Middle,Banking,76.03,422890,Insider,Social Engineering,VPN,4,422966.03
Australia,2020,Malware,Banking,42.3,497035,Hacker Group,Zero-day,AI-based Detection,66,497077.3
Brazil,2023,Phishing,Government,72.57,720220,Unknown,Weak Passwords,Firewall,71,720292.57
Russia,2019,Phishing,Government,93.7,808318,Nation-state,Social Engineering,Antivirus,57,808411.7
Germany,2022,SQL Injection,IT,68.63,294981,Unknown,Zero-day,AI-based Detection,3,295049.63
USA,2017,Phishing,Healthcare,52.7,281182,Nation-state,Zero-day,Encryption,27,281234.7
Australia,2017,Ransomware,Education,66.56,95750,Nation-state,Zero-day,Antivirus,44,95816.56
Brazil,2015,Ransomware,Retail,91.03,879260,Hacker Group,Social Engineering,Antivirus,16,879351.03
Russia,2017,Man-in-the-Middle,IT,14.74,561615,Hacker Group,Weak Passwords,Antivirus,29,561629.74
Brazil,2016,SQL Injection,Retail,40.29,206598,Unknown,Zero-day,Encryption,45,206638.29
Brazil,2017,Man-in-the-Middle,IT,56.83,171305,Unknown,Unpatched Software,Firewall,54,171361.83
Russia,2024,SQL Injection,Government,63.45,492909,Unknown,Zero-day,AI-based Detection,42,492972.45
UK,2021,Man-in-the-Middle,IT,72.57,477493,Hacker Group,Unpatched Software,Encryption,16,477565.57
Japan,2021,Phishing,Government,22.94,622723,Nation-state,Weak Passwords,AI-based Detection,67,622745.94
Australia,2016,Malware,Healthcare,80.22,124155,Nation-state,Weak Passwords,Encryption,40,124235.22
China,2024,Malware,Retail,34.49,897277,Unknown,Zero-day,VPN,55,897311.49
USA,2017,SQL Injection,Healthcare,51.26,28682,Hacker Group,Zero-day,VPN,44,28733.26
Japan,2020,Phishing,Banking,73.04,512431,Nation-state,Unpatched Software,VPN,44,512504.04
Australia,2018,SQL Injection,IT,19.14,171977,Unknown,Zero-day,Antivirus,44,171996.14
UK,2015,SQL Injection,Telecommunications,38.72,943070,Hacker Group,Zero-day,VPN,36,943108.72
Japan,2021,DDoS,Education,14.88,887855,Nation-state,Zero-day,AI-based Detection,7,887869.88
USA,2018,Ransomware,Retail,54.05,535110,Nation-state,Zero-day,Antivirus,2,535164.05
USA,2021,Man-in-the-Middle,Telecommunications,42.29,817386,Nation-state,Zero-day,Firewall,8,817428.29
India,2018,Phishing,Banking,96.59,206552,Nation-state,Weak Passwords,Encryption,13,206648.59
Brazil,2020,Man-in-the-Middle,Education,71.35,154966,Hacker Group,Zero-day,Antivirus,19,155037.35
France,2016,Phishing,Banking,54.5,511287,Unknown,Unpatched Software,Antivirus,34,511341.5
Germany,2023,SQL Injection,Banking,94.48,426499,Unknown,Unpatched Software,VPN,37,426593.48
UK,2016,Man-in-the-Middle,Telecommunications,73.63,15907,Hacker Group,Social Engineering,Antivirus,36,15980.63
UK,2022,Phishing,Education,36.15,375734,Nation-state,Weak Passwords,AI-based Detection,31,375770.15
Brazil,2023,Malware,Government,19.18,993826,Unknown,Zero-day,Firewall,7,993845.18
India,2023,Ransomware,Banking,83.18,397813,Nation-state,Social Engineering,Antivirus,12,397896.18
France,2024,Ransomware,Banking,70.98,185001,Insider,Zero-day,VPN,3,185071.98
Japan,2024,DDoS,IT,7.99,805548,Insider,Unpatched Software,Antivirus,10,805555.99
Brazil,2015,SQL Injection,Retail,74.74,562552,Nation-state,Unpatched Software,Encryption,37,562626.74
Brazil,2018,Malware,Education,33.12,724513,Nation-state,Zero-day,VPN,46,724546.12
UK,2024,SQL Injection,Telecommunications,54.1,715395,Unknown,Social Engineering,VPN,60,715449.1
France,2020,Ransomware,Telecommunications,75.13,177097,Unknown,Unpatched Software,Encryption,15,177172.13
Australia,2020,Man-in-the-Middle,Banking,56.34,407084,Unknown,Unpatched Software,Firewall,11,407140.34
UK,2023,Phishing,Healthcare,23.66,889641,Hacker Group,Social Engineering,AI-based Detection,50,889664.66
USA,2019,SQL Injection,IT,17.81,378105,Unknown,Weak Passwords,Encryption,4,378122.81
Germany,2020,SQL Injection,Education,43.96,597987,Hacker Group,Weak Passwords,Encryption,50,598030.96
USA,2018,Malware,Education,77.07,10600,Insider,Social Engineering,Firewall,47,10677.07
France,2016,SQL Injection,Healthcare,10.82,586784,Hacker Group,Weak Passwords,Encryption,26,586794.82
India,2023,SQL Injection,Banking,48.53,421083,Insider,Unpatched Software,AI-based Detection,28,421131.53
Australia,2023,Ransomware,Education,94.86,127127,Unknown,Social Engineering,Encryption,47,127221.86
China,2016,Malware,Government,15.92,668188,Insider,Unpatched Software,AI-based Detection,38,668203.92
Japan,2018,SQL Injection,Education,11.28,433618,Hacker Group,Social Engineering,Antivirus,59,433629.28
Germany,2023,Malware,Telecommunications,3.86,51176,Unknown,Social Engineering,Encryption,61,51179.86
Germany,2016,SQL Injection,IT,34.35,918452,Unknown,Weak Passwords,AI-based Detection,16,918486.35
Germany,2023,Ransomware,Healthcare,84.92,152814,Nation-state,Social Engineering,AI-based Detection,33,152898.92
USA,2017,Man-in-the-Middle,Retail,74.57,502149,Hacker Group,Weak Passwords,AI-based Detection,29,502223.57
USA,2019,Ransomware,Healthcare,89.81,46960,Nation-state,Zero-day,AI-based Detection,16,47049.81
Brazil,2017,SQL Injection,Government,40.66,651335,Insider,Weak Passwords,Encryption,21,651375.66
Brazil,2018,DDoS,Telecommunications,69.83,587034,Hacker Group,Weak Passwords,AI-based Detection,35,587103.83
France,2015,Man-in-the-Middle,Healthcare,79.58,856278,Hacker Group,Zero-day,Firewall,71,856357.58
China,2022,DDoS,Banking,79.07,880586,Hacker Group,Unpatched Software,VPN,56,880665.07
USA,2019,DDoS,Government,81.56,78873,Hacker Group,Weak Passwords,Encryption,27,78954.56
Australia,2017,DDoS,Banking,62.81,810106,Hacker Group,Weak Passwords,Encryption,66,810168.81
Germany,2021,DDoS,Government,28.71,937384,Hacker Group,Unpatched Software,Encryption,67,937412.71
Japan,2023,Man-in-the-Middle,Retail,36.68,231307,Unknown,Zero-day,Encryption,4,231343.68
China,2016,DDoS,IT,71.75,816710,Hacker Group,Weak Passwords,VPN,60,816781.75
USA,2019,Man-in-the-Middle,Telecommunications,17.21,896828,Unknown,Weak Passwords,Firewall,33,896845.21
UK,2016,DDoS,Telecommunications,48.47,937466,Hacker Group,Social Engineering,AI-based Detection,28,937514.47
China,2020,DDoS,Banking,11.72,81518,Nation-state,Social Engineering,VPN,47,81529.72
Brazil,2015,Malware,IT,1.35,371048,Hacker Group,Zero-day,VPN,56,371049.35
USA,2019,Phishing,IT,20.13,25946,Hacker Group,Weak Passwords,AI-based Detection,68,25966.13
France,2017,Man-in-the-Middle,Education,14.99,942088,Insider,Zero-day,AI-based Detection,46,942102.99
Japan,2015,Malware,Telecommunications,28.8,915532,Insider,Zero-day,Encryption,68,915560.8
USA,2018,SQL Injection,Government,99.49,755576,Insider,Weak Passwords,AI-based Detection,23,755675.49
Brazil,2018,Malware,Education,6.3,661644,Insider,Social Engineering,AI-based Detection,29,661650.3
UK,2019,DDoS,Telecommunications,95.75,168951,Insider,Social Engineering,VPN,13,169046.75
Russia,2022,Man-in-the-Middle,IT,49.87,816398,Insider,Social Engineering,Encryption,39,816447.87
India,2017,DDoS,Education,83.49,79933,Hacker Group,Zero-day,AI-based Detection,23,80016.49
USA,2019,Malware,Government,83.84,506149,Nation-state,Social Engineering,Encryption,35,506232.84
Japan,2021,Phishing,Retail,81.26,245015,Nation-state,Zero-day,Firewall,41,245096.26
Japan,2017,SQL Injection,Banking,66.81,966993,Hacker Group,Social Engineering,VPN,64,967059.81
Australia,2016,Malware,Education,88.87,235062,Nation-state,Weak Passwords,Firewall,32,235150.87
Brazil,2022,Phishing,Healthcare,75.08,132520,Unknown,Zero-day,Antivirus,56,132595.08
Germany,2016,SQL Injection,Retail,56.57,869605,Unknown,Social Engineering,VPN,51,869661.57
USA,2017,Phishing,Banking,96.27,637264,Hacker Group,Unpatched Software,AI-based Detection,11,637360.27
Russia,2021,DDoS,Banking,45.6,759356,Insider,Social Engineering,VPN,1,759401.6
Brazil,2021,DDoS,Education,69.37,666096,Hacker Group,Zero-day,Encryption,9,666165.37
India,2021,SQL Injection,Telecommunications,68.91,851981,Nation-state,Zero-day,AI-based Detection,57,852049.91
Australia,2024,Phishing,Banking,14.97,214740,Nation-state,Unpatched Software,Encryption,57,214754.97
Brazil,2016,Phishing,Government,35.94,372653,Hacker Group,Weak Passwords,VPN,60,372688.94
India,2024,Phishing,Banking,64.23,903871,Nation-state,Unpatched Software,Encryption,17,903935.23
India,2015,Malware,Education,64.29,924049,Nation-state,Social Engineering,VPN,5,924113.29
Australia,2020,Malware,Government,98.05,193983,Nation-state,Zero-day,Antivirus,31,194081.05
Russia,2021,Ransomware,Telecommunications,11.04,904330,Nation-state,Weak Passwords,VPN,49,904341.04
India,2018,SQL Injection,Education,52.05,874254,Nation-state,Zero-day,Antivirus,11,874306.05
Germany,2020,Man-in-the-Middle,Healthcare,28.81,691190,Nation-state,Unpatched Software,Firewall,27,691218.81
China,2024,DDoS,IT,61.42,412245,Nation-state,Social Engineering,Encryption,48,412306.42
France,2021,Man-in-the-Middle,Healthcare,53.77,302180,Insider,Weak Passwords,AI-based Detection,11,302233.77
USA,2016,Ransomware,Government,8.21,537592,Nation-state,Social Engineering,Antivirus,11,537600.21
